date,lat,lon,tmax
1970-05-28,41.5,-71.5,19.854437
1970-05-28,41.5,-70.5,18.185968
1970-05-28,42.5,-71.5,20.99006
1970-05-28,42.5,-70.5,17.604034
1970-05-29,41.5,-71.5,18.826975
1970-05-29,41.5,-70.5,16.450397
1970-05-29,42.5,-71.5,20.805948
1970-05-29,42.5,-70.5,16.62899
1970-05-30,41.5,-71.5,18.739256
1970-05-30,41.5,-70.5,16.556522
1970-05-30,42.5,-71.5,21.766766
1970-05-30,42.5,-70.5,17.675909
1970-05-31,41.5,-71.5,21.980831
1970-05-31,41.5,-70.5,19.410622
1970-05-31,42.5,-71.5,24.81637
1970-05-31,42.5,-70.5,20.587593
1970-06-01,41.5,-71.5,24.239891
1970-06-01,41.5,-70.5,21.334906
1970-06-01,42.5,-71.5,27.932693
1970-06-01,42.5,-70.5,23.003948
1970-06-02,41.5,-71.5,24.81269
1970-06-02,41.5,-70.5,21.77858
1970-06-02,42.5,-71.5,28.562597
1970-06-02,42.5,-70.5,23.35866
1970-06-03,41.5,-71.5,24.734821
1970-06-03,41.5,-70.5,21.860378
1970-06-03,42.5,-71.5,28.297276
1970-06-03,42.5,-70.5,23.243578
1970-06-04,41.5,-71.5,22.228926
1970-06-04,41.5,-70.5,19.390364
1970-06-04,42.5,-71.5,24.57018
1970-06-04,42.5,-70.5,19.532091
1970-06-05,41.5,-71.5,19.134691
1970-06-05,41.5,-70.5,16.785374
1970-06-05,42.5,-71.5,21.116838
1970-06-05,42.5,-70.5,16.68815
1970-06-06,41.5,-71.5,18.711735
1970-06-06,41.5,-70.5,16.275019
1970-06-06,42.5,-71.5,19.381054
1970-06-06,42.5,-70.5,15.164136
1970-06-07,41.5,-71.5,18.239227
1970-06-07,41.5,-70.5,16.229973
1970-06-07,42.5,-71.5,19.87789
1970-06-07,42.5,-70.5,16.251106
1970-06-08,41.5,-71.5,23.082663
1970-06-08,41.5,-70.5,20.72748
1970-06-08,42.5,-71.5,24.852585
1970-06-08,42.5,-70.5,21.15489
1970-06-09,41.5,-71.5,24.526865
1970-06-09,41.5,-70.5,22.055435
1970-06-09,42.5,-71.5,27.489233
1970-06-09,42.5,-70.5,23.014793
1970-06-10,41.5,-71.5,24.885614
1970-06-10,41.5,-70.5,22.371126
1970-06-10,42.5,-71.5,27.826315
1970-06-10,42.5,-70.5,23.333328
1970-06-11,41.5,-71.5,26.100746
1970-06-11,41.5,-70.5,23.210007
