date,lat,lon,tmin
1970-05-16,41.5,-71.5,8.034428
1970-05-16,41.5,-70.5,5.423153
1970-05-16,42.5,-71.5,10.413073
1970-05-16,42.5,-70.5,5.9303327
1970-05-17,41.5,-71.5,10.030205
1970-05-17,41.5,-70.5,7.171009
1970-05-17,42.5,-71.5,12.262232
1970-05-17,42.5,-70.5,7.4392176
1970-05-18,41.5,-71.5,8.653681
1970-05-18,41.5,-70.5,6.213385
1970-05-18,42.5,-71.5,11.113702
1970-05-18,42.5,-70.5,6.96712
1970-05-19,41.5,-71.5,7.7144685
1970-05-19,41.5,-70.5,5.090157
1970-05-19,42.5,-71.5,10.156786
1970-05-19,42.5,-70.5,5.7728276
1970-05-20,41.5,-71.5,7.6290126
1970-05-20,41.5,-70.5,4.977814
1970-05-20,42.5,-71.5,9.490693
1970-05-20,42.5,-70.5,4.9968834
1970-05-21,41.5,-71.5,9.009909
1970-05-21,41.5,-70.5,6.3536906
1970-05-21,42.5,-71.5,10.670825
1970-05-21,42.5,-70.5,6.4738083
1970-05-22,41.5,-71.5,8.513376
1970-05-22,41.5,-70.5,5.204603
1970-05-22,42.5,-71.5,10.883911
1970-05-22,42.5,-70.5,5.571111
1970-05-23,41.5,-71.5,11.088539
1970-05-23,41.5,-70.5,7.827677
1970-05-23,42.5,-71.5,13.22017
1970-05-23,42.5,-70.5,8.088751
1970-05-24,41.5,-71.5,8.978299
1970-05-24,41.5,-70.5,6.1467648
1970-05-24,42.5,-71.5,9.094756
1970-05-24,42.5,-70.5,4.9306045
1970-05-25,41.5,-71.5,8.5106945
1970-05-25,41.5,-70.5,5.7821174
1970-05-25,42.5,-71.5,9.8480625
1970-05-25,42.5,-70.5,5.2862434
1970-05-26,41.5,-71.5,9.500151
1970-05-26,41.5,-70.5,6.954712
1970-05-26,42.5,-71.5,10.750392
1970-05-26,42.5,-70.5,6.4246626
1970-05-27,41.5,-71.5,10.833364
1970-05-27,41.5,-70.5,8.88327
1970-05-27,42.5,-71.5,13.0055275
1970-05-27,42.5,-70.5,9.296896
1970-05-28,41.5,-71.5,6.257111
1970-05-28,41.5,-70.5,4.5495443
1970-05-28,42.5,-71.5,7.5130053
1970-05-28,42.5,-70.5,3.989309
1970-05-29,41.5,-71.5,4.941076
1970-05-29,41.5,-70.5,2.5048175
1970-05-29,42.5,-71.5,5.820127
1970-05-29,42.5,-70.5,2.0322218
1970-05-30,41.5,-71.5,3.0233908
1970-05-30,41.5,-70.5,0.676599
1970-05-30,42.5,-71.5,5.1170597
1970-05-30,42.5,-70.5,0.92597294
1970-05-31,41.5,-71.5,8.004293
1970-05-31,41.5,-70.5,6.083666
1970-05-31,42.5,-71.5,10.1368265
1970-05-31,42.5,-70.5,6.1610975
1970-06-01,41.5,-71.5,13.391498
1970-06-01,41.5,-70.5,10.877352
1970-06-01,42.5,-71.5,16.282574
1970-06-01,42.5,-70.5,11.946857
1970-06-02,41.5,-71.5,14.414974
1970-06-02,41.5,-70.5,11.373284
1970-06-02,42.5,-71.5,17.479652
1970-06-02,42.5,-70.5,12.127541
1970-06-03,41.5,-71.5,15.24798
1970-06-03,41.5,-70.5,12.252317
1970-06-03,42.5,-71.5,18.353748
1970-06-03,42.5,-70.5,13.251581
1970-06-04,41.5,-71.5,12.579926
1970-06-04,41.5,-70.5,9.872567
1970-06-04,42.5,-71.5,13.991376
1970-06-04,42.5,-70.5,9.50813
1970-06-05,41.5,-71.5,11.889299
1970-06-05,41.5,-70.5,8.878473
1970-06-05,42.5,-71.5,14.045608
1970-06-05,42.5,-70.5,8.914735
1970-06-06,41.5,-71.5,12.037227
1970-06-06,41.5,-70.5,8.78293
1970-06-06,42.5,-71.5,13.635296
1970-06-06,42.5,-70.5,8.198442
1970-06-07,41.5,-71.5,10.394813
1970-06-07,41.5,-70.5,7.6845036
1970-06-07,42.5,-71.5,12.153978
